# layout	overflow	blockN	PF	operation	ns_per_op
inline	bitstealing	-	24	post_churn_hit	12.0
separate	bitstealing	-	16	insert	17.3
separate	bitstealing	-	16	get_hit	10.6
separate	bitstealing	-	16	get_miss	10.9
separate	bitstealing	-	16	delete	10.3
separate	bitstealing	-	20	insert	16.8
separate	bitstealing	-	20	get_hit	10.1
separate	bitstealing	-	20	get_miss	10.9
separate	bitstealing	-	20	delete	9.9
separate	bitstealing	-	24	insert	16.0
separate	bitstealing	-	24	get_hit	9.8
separate	bitstealing	-	24	get_miss	10.8
separate	bitstealing	-	24	delete	9.7
separate	bitstealing	-	28	insert	15.4
separate	bitstealing	-	28	get_hit	9.7
separate	bitstealing	-	28	get_miss	10.9
separate	bitstealing	-	28	delete	9.7
separate	bitstealing	-	32	insert	15.6
separate	bitstealing	-	32	get_hit	9.7
separate	bitstealing	-	32	get_miss	10.7
separate	bitstealing	-	32	delete	9.7
separate	bitstealing	-	36	insert	15.8
separate	bitstealing	-	36	get_hit	9.9
separate	bitstealing	-	36	get_miss	10.8
separate	bitstealing	-	36	delete	9.8
separate	bitstealing	-	40	insert	15.8
separate	bitstealing	-	40	get_hit	9.8
separate	bitstealing	-	40	get_miss	10.8
separate	bitstealing	-	40	delete	9.8
separate	bitstealing	-	28	churn_del	10.7
separate	bitstealing	-	28	churn_ins	18.8
separate	bitstealing	-	28	post_churn_hit	11.7
hybrid	bitstealing	1	16	insert	14.3
hybrid	bitstealing	1	16	get_hit	10.2
hybrid	bitstealing	1	16	get_miss	10.8
hybrid	bitstealing	1	16	delete	10.1
hybrid	bitstealing	1	20	insert	13.9
hybrid	bitstealing	1	20	get_hit	9.7
hybrid	bitstealing	1	20	get_miss	10.8
hybrid	bitstealing	1	20	delete	10.0
hybrid	bitstealing	1	24	insert	13.9
hybrid	bitstealing	1	24	get_hit	9.7
hybrid	bitstealing	1	24	get_miss	10.7
hybrid	bitstealing	1	24	delete	10.0
hybrid	bitstealing	1	28	insert	13.8
hybrid	bitstealing	1	28	get_hit	9.7
hybrid	bitstealing	1	28	get_miss	10.7
hybrid	bitstealing	1	28	delete	10.0
hybrid	bitstealing	1	32	insert	14.0
hybrid	bitstealing	1	32	get_hit	9.7
hybrid	bitstealing	1	32	get_miss	10.6
hybrid	bitstealing	1	32	delete	10.0
hybrid	bitstealing	1	36	insert	14.2
hybrid	bitstealing	1	36	get_hit	9.7
hybrid	bitstealing	1	36	get_miss	10.7
hybrid	bitstealing	1	36	delete	10.0
hybrid	bitstealing	1	40	insert	14.1
hybrid	bitstealing	1	40	get_hit	9.7
hybrid	bitstealing	1	40	get_miss	10.6
hybrid	bitstealing	1	40	delete	10.0
hybrid	bitstealing	1	24	churn_del	10.8
hybrid	bitstealing	1	24	churn_ins	16.3
hybrid	bitstealing	1	24	post_churn_hit	11.6
hybrid	bitstealing	2	16	insert	15.4
hybrid	bitstealing	2	16	get_hit	11.2
hybrid	bitstealing	2	16	get_miss	11.8
