# stride	pf	workload	ns_per_op	final_count
N=4	16	churn_80_10_10	10.95	1000399
N=4	20	churn_80_10_10	11.73	1000399
N=4	24	churn_80_10_10	11.54	1000399
N=4	28	churn_80_10_10	11.20	1000399
N=4	32	churn_80_10_10	11.09	1000399
N=4	40	churn_80_10_10	10.95	1000399
N=4	48	churn_80_10_10	11.01	1000399
N=4	64	churn_80_10_10	10.89	1000399
N=4	4	churn_50_25_25	12.64	1000542
N=4	8	churn_50_25_25	12.76	1000542
N=4	12	churn_50_25_25	12.97	1000542
N=4	16	churn_50_25_25	12.68	1000542
N=4	20	churn_50_25_25	12.68	1000542
N=4	24	churn_50_25_25	12.65	1000542
N=4	28	churn_50_25_25	12.92	1000542
N=4	32	churn_50_25_25	13.00	1000542
N=4	40	churn_50_25_25	14.18	1000542
N=4	48	churn_50_25_25	14.32	1000542
N=4	64	churn_50_25_25	14.47	1000542
N=4	4	churn_33_33_34	14.29	981627
N=4	8	churn_33_33_34	13.96	981627
N=4	12	churn_33_33_34	12.71	981627
N=4	16	churn_33_33_34	12.70	981627
N=4	20	churn_33_33_34	12.65	981627
N=4	24	churn_33_33_34	12.92	981627
N=4	28	churn_33_33_34	12.81	981627
N=4	32	churn_33_33_34	12.82	981627
N=4	40	churn_33_33_34	12.83	981627
N=4	48	churn_33_33_34	12.80	981627
N=4	64	churn_33_33_34	12.87	981627
N=4	4	churn_20_40_40	13.04	1000325
N=4	8	churn_20_40_40	12.65	1000325
N=4	12	churn_20_40_40	12.74	1000325
N=4	16	churn_20_40_40	12.75	1000325
N=4	20	churn_20_40_40	12.75	1000325
N=4	24	churn_20_40_40	12.26	1000325
N=4	28	churn_20_40_40	12.15	1000325
N=4	32	churn_20_40_40	12.18	1000325
N=4	40	churn_20_40_40	12.21	1000325
N=4	48	churn_20_40_40	12.42	1000325
N=4	64	churn_20_40_40	12.61	1000325
